Round,Accuracy,Precision,Recall,F1,Training_Time_Sec,Avg_Client_Time_Sec,Communication_Time_Sec,Upload_MB,Download_MB,Total_Comm_MB,Total_Params,Trainable_Params,Model_Size_MB,FLOPs,FLOPs_Formatted,Memory_Access_MB,CPU_Memory_MB,GPU_Memory_MB
1,0.845916,0.865699,0.845916,0.804525,841.73,164.19,0.0200,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4355.02,27.56
2,0.980538,0.980633,0.980538,0.980579,838.76,163.73,0.0160,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.13,27.56
3,0.987629,0.987729,0.987629,0.987664,839.21,163.76,0.0220,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4531.64,27.56
4,0.995755,0.995750,0.995755,0.995750,858.65,166.67,0.0310,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4531.68,27.56
5,0.996623,0.996628,0.996623,0.996625,909.03,176.98,0.0400,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.70,27.56
6,0.996692,0.996694,0.996692,0.996693,904.42,176.21,0.0140,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.70,27.56
7,0.996711,0.996713,0.996711,0.996712,913.88,177.95,0.0330,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.70,27.56
8,0.996741,0.996746,0.996741,0.996743,916.41,178.62,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.71,27.56
9,0.996747,0.996749,0.996747,0.996748,904.73,176.23,0.0170,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.70,27.56
10,0.996611,0.996613,0.996611,0.996611,910.11,177.29,0.0290,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.72,27.56
11,0.996736,0.996736,0.996736,0.996736,907.17,176.64,0.0210,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.70,27.56
12,0.997028,0.997034,0.997028,0.997030,917.93,178.81,0.0300,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4532.72,27.56
13,0.996923,0.996927,0.996923,0.996925,918.98,179.09,0.0170,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4533.77,27.56
14,0.996909,0.996918,0.996909,0.996912,922.46,179.87,0.0310,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4533.79,27.56
15,0.997107,0.997121,0.997107,0.997111,925.27,180.28,0.0160,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4533.77,27.56
16,0.996810,0.996816,0.996810,0.996812,921.23,179.42,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4533.77,27.56
17,0.996588,0.996599,0.996588,0.996591,915.94,178.17,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4533.78,27.56
18,0.997042,0.997047,0.997042,0.997044,932.27,181.59,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.26,27.56
19,0.997247,0.997247,0.997247,0.997247,920.92,179.21,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.29,27.56
20,0.997137,0.997140,0.997137,0.997138,915.21,178.13,0.0170,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.29,27.56
21,0.997026,0.997026,0.997026,0.997026,925.22,180.09,0.0190,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
22,0.997130,0.997139,0.997130,0.997133,924.41,179.86,0.0310,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.29,27.56
23,0.997026,0.997028,0.997026,0.997027,922.07,179.43,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.30,27.56
24,0.997212,0.997220,0.997212,0.997214,914.18,177.86,0.0200,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.30,27.56
25,0.997449,0.997450,0.997449,0.997449,907.92,176.63,0.0160,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.33,27.56
26,0.997424,0.997428,0.997424,0.997425,921.02,179.83,0.0270,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
27,0.997293,0.997299,0.997293,0.997295,918.12,178.70,0.0120,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.35,27.56
28,0.997247,0.997260,0.997247,0.997251,932.32,181.54,0.0120,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
29,0.997270,0.997281,0.997270,0.997273,922.18,179.39,0.0150,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
30,0.997171,0.997177,0.997171,0.997173,939.10,182.90,0.0200,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.33,27.56
31,0.997323,0.997327,0.997323,0.997324,928.31,181.30,0.0400,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.33,27.56
32,0.997482,0.997490,0.997482,0.997485,934.57,181.99,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
33,0.997556,0.997561,0.997556,0.997558,932.36,181.84,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.33,27.56
34,0.997447,0.997456,0.997447,0.997450,920.13,179.61,0.0120,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
35,0.997325,0.997335,0.997325,0.997328,925.45,180.04,0.0200,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.33,27.56
36,0.997442,0.997449,0.997442,0.997444,938.10,182.61,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.31,27.56
37,0.997302,0.997311,0.997302,0.997305,925.88,180.07,0.0200,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.35,27.56
38,0.997160,0.997159,0.997160,0.997159,941.88,183.26,0.0300,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.42,27.56
39,0.997541,0.997550,0.997541,0.997543,941.94,183.86,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
40,0.997505,0.997514,0.997505,0.997508,936.55,182.27,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.88,27.56
41,0.997507,0.997515,0.997507,0.997509,926.02,180.09,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.86,27.56
42,0.997335,0.997346,0.997335,0.997339,938.82,182.80,0.0120,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.86,27.56
43,0.997585,0.997588,0.997585,0.997586,936.93,182.24,0.0180,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
44,0.997560,0.997568,0.997560,0.997562,931.81,181.33,0.0140,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.88,27.56
45,0.997526,0.997534,0.997526,0.997529,925.01,180.56,0.0260,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
46,0.996911,0.996934,0.996911,0.996917,934.01,181.65,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.85,27.56
47,0.996890,0.996887,0.996890,0.996887,928.84,180.94,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4535.39,27.56
48,0.997636,0.997645,0.997636,0.997639,936.93,182.26,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.39,27.56
49,0.997452,0.997460,0.997452,0.997455,925.61,180.03,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.39,27.56
50,0.997532,0.997543,0.997532,0.997535,924.78,179.91,0.0160,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.45,27.56
FINAL SUMMARY (Mean +/- Std)
Metric,Mean,Std
Accuracy,0.993595,0.021266
Precision,0.994000,0.018521
Recall,0.993595,0.021266
F1,0.992770,0.027025
Communication_Time_Sec,0.018840,0.007575
Communication_Data_MB,8.07,0.00
Model_Transfer_Size_MB,0.81,
Client_Samples,307081.4,302780.2
